iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,079,471,338.40","0.35","1,079,471,338.40","5,434,310.00","198.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,068,512,934.96","0.35","1,068,512,934.96","10,207,422.00","104.68","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,066,445,999.10","0.35","1,066,445,999.10","5,370,630.00","198.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,055,670,344.03","0.35","1,055,670,344.03","4,994,419.00","211.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,047,903,777.00","0.34","1,047,903,777.00","8,029,914.00","130.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,025,645,881.26","0.34","1,025,645,881.26","2,121,119.00","483.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,006,336,660.50","0.33","1,006,336,660.50","8,198,262.00","122.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","996,589,765.86","0.33","996,589,765.86","2,923,751.00","340.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","989,151,295.92","0.32","989,151,295.92","2,017,976.00","490.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","976,905,316.01","0.32","976,905,316.01","11,603,579.00","84.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","969,639,278.40","0.32","969,639,278.40","3,007,566.00","322.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","966,774,954.86","0.32","966,774,954.86","4,621,958.00","209.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","948,656,089.70","0.31","948,656,089.70","11,813,899.00","80.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","923,332,671.03","0.30","923,332,671.03","11,075,119.00","83.37","United States","NASDAQ","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","905,522,810.40","0.30","905,522,810.40","9,674,389.00","93.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","890,167,331.20","0.29","890,167,331.20","344,512.00","2,583.85","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","887,776,945.85","0.29","887,776,945.85","2,401,669.00","369.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","884,321,988.80","0.29","884,321,988.80","11,404,720.00","77.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","873,050,727.60","0.29","873,050,727.60","1,330,059.00","656.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","861,448,841.92","0.28","861,448,841.92","2,994,469.00","287.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","860,280,718.15","0.28","860,280,718.15","12,108,103.00","71.05","United States","NASDAQ","USD","1.00","USD","-"
